Stockfish_Evaluation,Time_Left,Pieces_Left,Elo_Difference,Predicted_Outcome
-4.37,5.0,19.0,-2.0,1
0.25,18.3,16.0,-13.0,0
0.65,18.3,17.0,-62.0,0
-1.07,6.3,17.0,82.0,0
-1.66,11.9,13.0,-72.0,0
2.15,21.0,16.0,23.0,1
-1.4,15.9,11.0,7.0,0
1.44,15.7,12.0,72.0,0
0.4,19.7,15.0,35.0,0
-1.54,22.7,12.0,58.0,0
-2.46,12.4,11.0,1.0,0
-1.61,15.1,13.0,-49.0,0
1.85,9.1,18.0,6.0,0
-3.46,16.9,20.0,-18.0,0
-2.18,11.4,15.0,-59.0,0
-2.43,11.7,17.0,3.0,0
1.84,22.3,13.0,-19.0,1
-2.56,12.7,9.0,6.0,0
1.58,14.2,12.0,-3.0,0
-0.71,19.1,14.0,-15.0,0
3.56,15.5,15.0,7.0,1
0.26,30.0,15.0,23.0,1
2.13,21.5,14.0,-98.0,1
0.92,11.8,13.0,-8.0,0
-0.9,5.4,16.0,29.0,0
-0.03,12.1,11.0,14.0,0
-1.28,10.7,17.0,-31.0,0
-0.92,11.5,13.0,0.0,0
1.78,17.9,21.0,1.0,0
5.02,25.6,14.0,-29.0,1
0.23,22.3,14.0,42.0,0
1.43,14.2,13.0,18.0,0
1.06,15.0,14.0,-19.0,0
-5.22,24.5,17.0,45.0,0
-0.08,30.0,15.0,15.0,1
0.88,10.8,18.0,41.0,0
-2.5,23.4,16.0,-10.0,0
-3.58,19.6,15.0,-41.0,0
4.36,22.2,16.0,-28.0,1
0.08,10.2,19.0,37.0,0
-0.74,7.1,17.0,-43.0,0
-0.66,20.0,16.0,34.0,0
4.62,14.4,16.0,6.0,1
1.79,12.4,12.0,64.0,0
-2.43,16.5,23.0,-5.0,0
-1.43,14.4,17.0,27.0,0
4.36,23.8,17.0,-10.0,1
-1.33,7.6,15.0,18.0,0
-1.07,10.1,8.0,23.0,0
1.34,25.8,14.0,41.0,1
-0.53,16.8,15.0,41.0,0
0.89,18.8,13.0,9.0,0
0.58,9.8,13.0,-27.0,0
-0.29,15.5,14.0,34.0,1
2.42,22.0,17.0,24.0,1
-2.55,10.0,19.0,16.0,0
0.23,14.3,16.0,-7.0,0
-2.19,10.8,13.0,5.0,0
3.28,22.8,14.0,30.0,1
-0.35,15.2,15.0,-35.0,0
1.03,10.3,16.0,105.0,0
1.78,14.4,16.0,-50.0,0
0.22,10.1,14.0,-61.0,0
2.18,17.5,17.0,40.0,1
-1.91,24.5,16.0,-9.0,0
3.02,13.2,14.0,31.0,1
0.05,10.1,10.0,-1.0,0
1.2,9.6,12.0,-1.0,0
1.09,13.5,20.0,-45.0,0
-1.35,11.9,10.0,4.0,0
-1.62,17.4,19.0,-3.0,0
0.19,20.4,10.0,49.0,0
-4.02,14.1,13.0,-7.0,0
1.65,17.4,14.0,-41.0,0
-1.04,26.3,20.0,-16.0,1
1.51,29.4,15.0,21.0,1
3.03,19.1,14.0,-38.0,1
1.96,16.5,12.0,-9.0,0
-3.08,8.1,17.0,12.0,1
0.6,23.3,13.0,12.0,0
-1.72,18.9,14.0,-25.0,0
-0.13,15.7,14.0,-1.0,0
1.91,12.1,17.0,-32.0,0
1.32,13.8,17.0,-40.0,1
-0.52,12.0,12.0,-70.0,1
-2.82,17.8,13.0,-36.0,0
-2.05,24.2,13.0,4.0,0
3.01,12.7,16.0,16.0,1
3.04,16.6,18.0,-9.0,1
-0.03,19.4,16.0,43.0,0
-0.05,27.4,8.0,-8.0,1
1.47,17.2,17.0,-1.0,1
0.59,6.5,11.0,-50.0,0
1.25,21.5,13.0,-1.0,0
0.73,30.0,16.0,-14.0,1
2.3,22.0,15.0,16.0,1
-0.4,13.1,18.0,-41.0,0
-2.78,21.3,13.0,26.0,0
-1.56,11.5,12.0,48.0,0
-1.19,30.0,14.0,-5.0,1
2.96,15.5,18.0,20.0,1
-1.39,13.4,17.0,35.0,0
-1.02,16.5,15.0,-20.0,0
-4.22,15.5,19.0,11.0,0
1.87,11.5,18.0,1.0,1
0.24,11.2,17.0,5.0,0
0.78,24.9,11.0,-54.0,1
0.78,18.3,17.0,24.0,0
1.27,9.1,14.0,25.0,1
0.66,27.4,14.0,56.0,1
3.83,25.7,13.0,48.0,1
0.42,15.5,14.0,-17.0,0
-2.81,17.9,13.0,-38.0,0
1.28,16.9,16.0,-17.0,0
0.55,16.6,14.0,-3.0,0
1.78,27.2,16.0,-0.0,1
0.39,19.8,17.0,-40.0,0
0.9,20.4,14.0,-42.0,0
0.69,5.0,13.0,-30.0,0
0.5,14.2,9.0,-57.0,0
1.88,22.3,17.0,-26.0,1
-1.98,13.6,15.0,-38.0,0
0.65,15.0,14.0,-32.0,0
2.52,20.3,19.0,17.0,1
2.4,14.3,11.0,-52.0,0
2.19,14.0,15.0,48.0,0
1.09,18.1,12.0,29.0,0
1.33,17.0,17.0,-35.0,0
1.14,7.7,8.0,25.0,0
-1.44,15.8,17.0,-66.0,0
-1.06,21.3,17.0,92.0,0
-2.39,26.0,12.0,50.0,0
1.15,25.0,15.0,-23.0,1
0.86,30.0,12.0,-86.0,1
1.4,16.0,16.0,68.0,0
-1.55,23.1,17.0,-6.0,0
1.93,22.0,12.0,62.0,1
0.94,14.2,11.0,22.0,0
4.47,15.8,18.0,-30.0,1
1.61,30.0,21.0,0.0,1
0.23,14.2,16.0,2.0,1
-2.7,11.0,17.0,12.0,0
0.44,17.6,14.0,31.0,0
0.05,16.1,16.0,-53.0,0
-1.47,11.2,16.0,-12.0,0
-1.93,28.0,14.0,6.0,0
-1.16,18.9,19.0,-56.0,0
2.91,12.0,16.0,36.0,1
-1.93,15.6,16.0,83.0,0
-0.07,10.4,15.0,-77.0,1
-2.86,9.3,15.0,12.0,1
-3.41,11.8,19.0,-24.0,0
-0.56,19.7,15.0,-41.0,0
0.41,20.7,16.0,78.0,0
-2.3,12.9,16.0,-21.0,0
-2.34,8.2,14.0,59.0,0
0.09,17.5,11.0,3.0,0
0.29,21.8,20.0,103.0,0
1.87,20.0,18.0,88.0,1
-2.86,19.1,19.0,-12.0,0
-1.3,11.4,12.0,49.0,0
3.69,23.6,19.0,32.0,1
-0.43,13.1,21.0,68.0,0
-0.2,14.2,18.0,-27.0,0
0.25,16.5,20.0,34.0,0
-1.3,15.5,17.0,53.0,0
-1.56,16.2,12.0,-88.0,0
0.61,19.3,17.0,-1.0,0
-2.76,15.2,12.0,-27.0,0
-3.22,16.3,13.0,-14.0,0
-1.38,5.7,16.0,-104.0,1
1.42,11.4,16.0,75.0,1
0.07,17.6,16.0,4.0,1
1.06,13.9,10.0,81.0,0
1.66,18.6,15.0,-69.0,0
2.76,19.3,17.0,-85.0,1
1.79,11.3,17.0,-3.0,0
1.27,16.6,17.0,19.0,0
0.77,28.5,16.0,-2.0,1
-1.41,12.5,14.0,-18.0,0
-0.48,13.5,17.0,-4.0,0
3.2,9.5,14.0,-54.0,0
-1.88,18.4,18.0,33.0,0
0.31,20.9,16.0,18.0,0
-1.26,13.7,15.0,-24.0,0
2.73,20.8,13.0,13.0,1
1.19,19.5,18.0,-53.0,0
0.86,20.3,17.0,-3.0,0
-2.09,24.4,21.0,24.0,0
-2.93,13.8,17.0,-49.0,0
-3.8,15.6,17.0,-10.0,0
-0.33,18.1,11.0,6.0,0
0.97,20.8,16.0,-40.0,0
0.04,16.1,14.0,7.0,0
0.47,21.6,17.0,-52.0,0
-0.87,10.4,16.0,38.0,0
1.97,12.1,18.0,15.0,0
1.46,18.8,21.0,33.0,0
0.25,21.6,13.0,18.0,0
0.41,20.2,18.0,-26.0,0
-0.93,11.7,17.0,-28.0,0
3.89,18.4,21.0,-6.0,1
1.62,11.4,17.0,-49.0,0
-0.21,18.0,17.0,31.0,0
-0.35,16.6,18.0,-7.0,0
-1.42,20.7,18.0,-27.0,0
-0.6,20.6,19.0,21.0,0
0.49,11.9,13.0,-14.0,0
-3.41,12.6,14.0,-57.0,0
-0.5,17.8,20.0,-76.0,0
-0.26,10.9,9.0,68.0,0
-0.02,11.6,15.0,-42.0,0
0.35,14.9,15.0,-12.0,0
0.06,21.5,14.0,29.0,0
1.2,21.3,20.0,16.0,0
-0.27,18.7,16.0,154.0,0
1.98,10.4,14.0,56.0,0
1.32,11.1,13.0,-6.0,1
4.49,14.3,16.0,-17.0,1
-0.25,14.9,18.0,-80.0,0
0.88,23.7,15.0,10.0,1
-0.31,13.7,15.0,-18.0,0
-1.01,15.7,13.0,37.0,0
-1.74,15.9,16.0,-32.0,0
2.2,26.1,16.0,32.0,1
-0.65,18.1,13.0,-31.0,0
-1.14,23.9,18.0,44.0,1
1.03,18.6,20.0,-0.0,0
-1.63,15.4,15.0,74.0,0
-1.75,21.4,16.0,37.0,0
0.76,16.5,12.0,-43.0,0
-3.58,16.4,17.0,-7.0,0
-0.97,14.8,16.0,27.0,0
1.71,10.9,14.0,-52.0,0
-3.67,15.6,13.0,-10.0,0
1.36,18.6,21.0,-44.0,0
-2.87,10.4,16.0,1.0,0
-5.46,26.4,12.0,46.0,1
1.33,22.0,18.0,95.0,1
0.24,12.5,16.0,-32.0,0
-1.34,18.0,15.0,28.0,0
-2.58,9.8,18.0,-33.0,0
4.4,17.8,7.0,-24.0,1
1.31,25.4,10.0,-30.0,1
0.49,28.4,19.0,-43.0,1
2.44,15.5,15.0,2.0,1
0.78,13.8,14.0,-42.0,0
-1.0,22.8,11.0,14.0,0
-1.21,15.8,16.0,-3.0,0
-2.39,23.4,16.0,-12.0,0
-2.03,10.5,19.0,-100.0,0
2.22,12.0,16.0,-7.0,0
-1.04,17.9,14.0,38.0,0
2.71,14.0,16.0,25.0,1
-1.66,16.6,18.0,-49.0,0
-1.2,11.0,18.0,44.0,0
-0.9,7.6,17.0,38.0,0
-1.8,17.7,16.0,-83.0,0
-1.17,14.9,13.0,-22.0,0
1.1,14.4,12.0,-33.0,0
2.4,10.5,11.0,29.0,1
0.6,27.2,16.0,-11.0,1
-2.38,9.1,16.0,30.0,0
-1.2,30.0,18.0,54.0,1
-1.16,28.3,17.0,2.0,1
3.4,24.6,18.0,56.0,1
1.97,7.2,15.0,-22.0,1
2.43,17.2,17.0,32.0,1
-1.42,16.5,12.0,-9.0,0
-2.55,13.0,15.0,-28.0,0
-0.24,19.3,10.0,-61.0,0
-1.94,12.4,15.0,-33.0,0
0.58,19.9,19.0,21.0,0
0.82,20.9,15.0,-43.0,0
-1.34,13.9,17.0,-19.0,0
2.01,30.0,16.0,50.0,1
-2.92,19.0,13.0,18.0,0
0.22,20.3,14.0,-50.0,0
1.36,12.1,19.0,-56.0,0
3.4,19.7,17.0,-24.0,1
0.84,20.2,13.0,72.0,0
2.51,16.3,11.0,-18.0,1
2.38,19.2,16.0,-40.0,1
-3.3,18.9,13.0,29.0,0
0.65,17.9,14.0,-31.0,0
4.1,16.6,11.0,14.0,1
1.62,20.1,18.0,21.0,0
-0.25,17.1,15.0,4.0,0
0.06,7.9,15.0,-68.0,0
-1.83,20.0,13.0,7.0,0
3.06,18.6,14.0,0.0,1
0.34,16.0,15.0,17.0,0
-2.64,17.1,13.0,33.0,0
1.77,14.0,14.0,-45.0,0
0.96,19.5,19.0,-22.0,0
0.68,16.1,10.0,20.0,0
-0.89,21.6,16.0,-21.0,0
0.4,23.8,13.0,14.0,0
-3.62,13.1,19.0,15.0,0
1.42,15.8,14.0,44.0,0
3.38,17.7,12.0,-12.0,1
-1.3,30.0,14.0,-7.0,1
3.69,16.1,16.0,17.0,1
1.99,20.4,23.0,-102.0,0
-1.38,17.6,9.0,-50.0,0
1.27,19.2,11.0,11.0,0
3.2,25.7,19.0,65.0,1
0.43,23.0,10.0,1.0,0
0.79,23.7,15.0,84.0,1
-1.07,5.0,14.0,16.0,0
-0.24,17.3,13.0,-17.0,1
1.4,7.0,14.0,41.0,0
-0.36,18.3,14.0,57.0,0
-1.01,16.6,18.0,-11.0,0
2.3,22.3,19.0,8.0,0
0.97,23.5,16.0,-74.0,0
-0.96,14.0,14.0,4.0,0
-0.61,16.6,16.0,17.0,0
4.23,11.0,17.0,-21.0,1
2.03,16.7,18.0,32.0,0
-2.39,11.9,16.0,114.0,1
-1.11,9.3,20.0,9.0,0
1.18,15.6,13.0,12.0,1
-3.17,5.0,18.0,-23.0,0
2.38,26.1,17.0,-42.0,0
0.42,18.0,13.0,42.0,0
2.25,20.6,16.0,-43.0,1
-0.61,10.5,16.0,35.0,0
0.97,7.6,15.0,-17.0,0
1.06,14.1,15.0,-36.0,0
0.38,22.4,10.0,17.0,1
0.98,13.6,13.0,-67.0,0
-0.27,19.0,14.0,-26.0,0
-2.37,24.7,13.0,21.0,0
-4.08,9.8,12.0,-31.0,0
-1.23,17.6,18.0,-22.0,0
1.58,18.2,15.0,-66.0,1
1.21,8.1,22.0,38.0,0
2.12,13.3,16.0,-46.0,0
-1.14,20.7,18.0,43.0,0
0.95,19.7,14.0,-14.0,0
-0.33,14.3,13.0,-10.0,0
2.05,15.8,16.0,-2.0,0
2.31,14.7,19.0,6.0,1
-0.45,15.8,15.0,15.0,0
0.17,22.6,16.0,-89.0,0
-1.63,5.2,16.0,21.0,0
0.57,17.0,15.0,33.0,0
-4.13,19.7,15.0,-3.0,0
-0.59,13.9,12.0,14.0,0
1.0,14.5,15.0,-56.0,0
-0.18,14.7,17.0,122.0,0
-1.59,17.7,16.0,17.0,0
-3.83,17.5,16.0,5.0,0
-1.31,9.6,17.0,36.0,0
-0.95,26.7,16.0,24.0,1
2.13,6.5,15.0,-64.0,0
-1.28,22.3,17.0,-40.0,0
-1.7,29.6,15.0,-26.0,1
-2.38,10.1,14.0,-6.0,0
2.29,9.3,16.0,67.0,0
-0.45,21.8,15.0,19.0,0
0.54,17.1,14.0,-26.0,0
-3.09,5.3,15.0,-13.0,0
-3.51,13.2,16.0,-32.0,0
-1.8,20.1,12.0,9.0,0
-2.77,11.6,16.0,55.0,0
-2.18,24.4,21.0,-85.0,0
-1.25,13.6,12.0,-42.0,0
0.03,11.9,13.0,-8.0,0
-1.25,13.9,23.0,-21.0,0
0.96,27.5,13.0,-51.0,1
-1.66,20.1,19.0,-51.0,0
-1.05,25.4,14.0,41.0,1
-1.14,28.0,15.0,4.0,1
-1.87,18.7,15.0,-8.0,0
-0.98,23.4,16.0,-65.0,0
-4.46,8.0,10.0,-17.0,0
-3.08,23.3,16.0,37.0,0
-0.18,17.1,14.0,-13.0,0
-2.68,25.3,9.0,-75.0,0
-0.79,14.6,18.0,-13.0,0
-1.59,17.7,9.0,-14.0,1
2.5,19.4,21.0,47.0,1
-3.08,22.1,17.0,-3.0,1
1.35,17.9,11.0,-12.0,0
0.57,10.9,19.0,-24.0,0
-0.46,22.5,13.0,92.0,1
-1.52,14.3,13.0,-31.0,0
0.34,16.6,10.0,7.0,0
1.53,19.0,12.0,-55.0,0
-1.77,18.0,13.0,129.0,0
-0.54,9.0,17.0,3.0,0
-2.29,15.4,19.0,10.0,0
0.74,27.5,11.0,-1.0,1
-0.01,18.6,16.0,31.0,0
-1.23,30.0,9.0,-7.0,1
-2.0,18.9,16.0,7.0,0
1.84,20.2,21.0,18.0,0
2.77,25.8,10.0,46.0,1
1.15,13.2,12.0,-27.0,0
1.28,15.8,17.0,28.0,0
2.22,26.5,18.0,5.0,1
-1.4,13.7,12.0,-13.0,0
4.27,24.1,19.0,75.0,1
-0.19,8.9,13.0,-133.0,0
-0.49,10.0,20.0,55.0,0
-1.54,29.4,16.0,62.0,1
0.13,16.4,19.0,-3.0,0
3.46,13.6,16.0,-17.0,1
-0.48,26.0,17.0,-22.0,1
0.84,25.3,17.0,-70.0,0
0.38,23.3,18.0,-39.0,0
-0.95,13.9,15.0,-56.0,0
2.0,15.7,12.0,88.0,0
0.25,19.4,15.0,-60.0,0
-2.13,18.0,13.0,64.0,0
-2.4,14.3,13.0,-1.0,0
-1.11,18.6,20.0,45.0,1
-1.84,19.2,17.0,-26.0,0
3.15,22.1,17.0,24.0,1
0.94,22.2,18.0,-61.0,0
2.89,12.8,17.0,36.0,1
-0.58,16.2,21.0,-34.0,0
-1.53,14.3,9.0,-33.0,0
-1.41,21.1,12.0,36.0,0
0.51,23.3,13.0,22.0,0
-0.99,18.1,11.0,23.0,0
2.44,12.3,15.0,58.0,1
1.83,17.9,15.0,-54.0,0
0.54,15.6,21.0,31.0,0
-3.32,15.8,18.0,30.0,0
0.59,15.8,13.0,-15.0,0
0.64,5.0,16.0,16.0,0
2.81,25.4,10.0,-63.0,1
1.35,20.6,15.0,46.0,1
0.28,19.8,15.0,-18.0,0
-4.2,25.4,12.0,-29.0,0
1.78,9.7,14.0,52.0,0
-0.82,6.7,13.0,-35.0,0
0.81,22.0,12.0,-70.0,0
-2.28,15.6,17.0,-78.0,0
0.31,6.7,18.0,30.0,0
-4.44,19.7,17.0,-64.0,0
-2.77,18.8,14.0,7.0,0
-1.76,12.5,13.0,2.0,0
-1.09,14.0,14.0,85.0,0
0.78,10.2,14.0,-67.0,0
-3.31,12.1,12.0,-16.0,0
-1.28,13.1,18.0,-27.0,0
-1.23,21.0,14.0,20.0,0
1.38,13.9,17.0,-2.0,0
-0.38,21.5,11.0,89.0,1
-1.93,5.0,13.0,35.0,0
-1.32,12.3,18.0,8.0,0
-1.11,14.8,18.0,-18.0,0
-3.3,15.6,11.0,-21.0,0
3.25,15.6,16.0,-23.0,1
-0.01,16.8,16.0,-86.0,0
-1.83,22.1,13.0,-67.0,0
-2.11,11.7,16.0,37.0,0
-2.41,12.9,10.0,-17.0,0
0.74,22.0,12.0,30.0,0
-3.31,17.4,17.0,14.0,0
-0.36,24.0,15.0,35.0,0
-1.47,30.0,15.0,-27.0,1
-1.17,25.4,14.0,32.0,1
-1.31,12.5,17.0,10.0,0
